currencies,Buy,Sell,Scrape_time
Chinese yuan,6.6786,6.6928,2025-10-16
US Dollar,47.5411,47.6417,2025-10-17
Euro,55.3759,55.4978,2025-10-17
Pound Sterling,63.8002,63.9733,2025-10-17
Swiss Franc,59.6352,59.7913,2025-10-17
Japanese Yen 100,31.4488,31.5258,2025-10-17
Saudi Riyal,12.6756,12.7031,2025-10-17
Kuwaiti Dinar,155.4292,155.7988,2025-10-17
UAE Dirham,12.9431,12.9711,2025-10-17
Chinese yuan,6.6723,6.6873,2025-10-17
US Dollar,47.5411,47.6417,2025-10-18
Euro,55.3759,55.4978,2025-10-18
Pound Sterling,63.8002,63.9733,2025-10-18
Swiss Franc,59.6352,59.7913,2025-10-18
Japanese Yen 100,31.4488,31.5258,2025-10-18
Saudi Riyal,12.6756,12.7031,2025-10-18
Kuwaiti Dinar,155.4292,155.7988,2025-10-18
UAE Dirham,12.9431,12.9711,2025-10-18
Chinese yuan,6.6723,6.6873,2025-10-18
US Dollar,47.5411,47.6417,2025-10-19
Euro,55.3759,55.4978,2025-10-19
Pound Sterling,63.8002,63.9733,2025-10-19
Swiss Franc,59.6352,59.7913,2025-10-19
Japanese Yen 100,31.4488,31.5258,2025-10-19
Saudi Riyal,12.6756,12.7031,2025-10-19
Kuwaiti Dinar,155.4292,155.7988,2025-10-19
UAE Dirham,12.9431,12.9711,2025-10-19
Chinese yuan,6.6723,6.6873,2025-10-19
US Dollar,47.5121,47.6121,2025-10-20
Euro,55.3563,55.4776,2025-10-20
Pound Sterling,63.7802,63.9287,2025-10-20
Swiss Franc,59.8992,60.048,2025-10-20
Japanese Yen 100,31.538,31.6107,2025-10-20
Saudi Riyal,12.6679,12.6952,2025-10-20
Kuwaiti Dinar,155.2529,155.656,2025-10-20
UAE Dirham,12.9358,12.9648,2025-10-20
Chinese yuan,6.6658,6.6811,2025-10-20
US Dollar,47.4444,47.5435,2025-10-21
Euro,55.2585,55.3835,2025-10-21
Pound Sterling,63.5755,63.7464,2025-10-21
Swiss Franc,59.7913,59.9464,2025-10-21
Japanese Yen 100,31.4535,31.5213,2025-10-21
Saudi Riyal,12.6495,12.6766,2025-10-21
Kuwaiti Dinar,154.9914,155.3659,2025-10-21
UAE Dirham,12.9167,12.9444,2025-10-21
Chinese yuan,6.6601,6.6746,2025-10-21
US Dollar,47.5044,47.6044,2025-10-22
Euro,55.2001,55.3211,2025-10-22
Pound Sterling,63.5942,63.7471,2025-10-22
Swiss Franc,59.7841,59.9401,2025-10-22
Japanese Yen 100,31.2735,31.3414,2025-10-22
Saudi Riyal,12.6662,12.6935,2025-10-22
Kuwaiti Dinar,155.0456,155.4125,2025-10-22
UAE Dirham,12.9331,12.961,2025-10-22
Chinese yuan,6.6731,6.6876,2025-10-22
US Dollar,47.5049,47.6049,2025-10-23
Euro,55.0249,55.1502,2025-10-23
Pound Sterling,63.2765,63.4287,2025-10-23
Swiss Franc,59.642,59.7901,2025-10-23
Japanese Yen 100,31.3006,31.3685,2025-10-23
Saudi Riyal,12.6663,12.6936,2025-10-23
Kuwaiti Dinar,154.9105,155.2872,2025-10-23
UAE Dirham,12.9332,12.9611,2025-10-23
Chinese yuan,6.6672,6.6816,2025-10-23
US Dollar,47.5429,47.6429,2025-10-24
Euro,55.088,55.2134,2025-10-24
Pound Sterling,63.389,63.5414,2025-10-24
Swiss Franc,59.5403,59.673,2025-10-24
Japanese Yen 100,31.1247,31.1922,2025-10-24
Saudi Riyal,12.6758,12.7031,2025-10-24
Kuwaiti Dinar,155.0347,155.4115,2025-10-24
UAE Dirham,12.9435,12.9715,2025-10-24
Chinese yuan,6.6727,6.6877,2025-10-24
US Dollar,47.5429,47.6429,2025-10-25
Euro,55.088,55.2134,2025-10-25
Pound Sterling,63.389,63.5414,2025-10-25
Swiss Franc,59.5403,59.673,2025-10-25
Japanese Yen 100,31.1247,31.1922,2025-10-25
Saudi Riyal,12.6758,12.7031,2025-10-25
Kuwaiti Dinar,155.0347,155.4115,2025-10-25
UAE Dirham,12.9435,12.9715,2025-10-25
Chinese yuan,6.6727,6.6877,2025-10-25
US Dollar,47.5429,47.6429,2025-10-26
Euro,55.088,55.2134,2025-10-26
Pound Sterling,63.389,63.5414,2025-10-26
Swiss Franc,59.5403,59.673,2025-10-26
Japanese Yen 100,31.1247,31.1922,2025-10-26
Saudi Riyal,12.6758,12.7031,2025-10-26
Kuwaiti Dinar,155.0347,155.4115,2025-10-26
UAE Dirham,12.9435,12.9715,2025-10-26
Chinese yuan,6.6727,6.6877,2025-10-26
US Dollar,47.4714,47.5714,2025-10-27
Euro,55.1855,55.3113,2025-10-27
Pound Sterling,63.1797,63.3509,2025-10-27
Swiss Franc,59.6375,59.8082,2025-10-27
Japanese Yen 100,31.0494,31.1229,2025-10-27
Saudi Riyal,12.657,12.6847,2025-10-27
Kuwaiti Dinar,154.8166,155.1934,2025-10-27
UAE Dirham,12.9248,12.9538,2025-10-27
Chinese yuan,6.6655,6.6803,2025-10-27
US Dollar,47.382,47.482,2025-10-28
Euro,55.1669,55.288,2025-10-28
Pound Sterling,63.2218,63.36,2025-10-28
Swiss Franc,59.5326,59.6882,2025-10-28
Japanese Yen 100,31.0153,31.0888,2025-10-28
Saudi Riyal,12.6345,12.6619,2025-10-28
Kuwaiti Dinar,154.53,154.9067,2025-10-28
UAE Dirham,12.8997,12.9277,2025-10-28
Chinese yuan,6.6685,6.6831,2025-10-28
US Dollar,47.3097,47.4097,2025-10-29
Euro,55.1395,55.2655,2025-10-29
Pound Sterling,62.9503,63.1071,2025-10-29
Swiss Franc,59.5315,59.6874,2025-10-29
Japanese Yen 100,31.1269,31.1947,2025-10-29
Saudi Riyal,12.6152,12.6426,2025-10-29
Kuwaiti Dinar,154.2993,154.6759,2025-10-29
UAE Dirham,12.88,12.908,2025-10-29
Chinese yuan,6.6635,6.6778,2025-10-29
