id,currency,ratedate,buyingrate,centralrate,sellingrate,scrape_date
60078,EURO,2025-10-23,1694.3265,1694.9069,1695.4874,2025-11-20
60079,YEN,2025-10-23,9.5648,9.5681,9.5714,2025-11-20
60080,RIYAL,2025-10-23,389.1569,389.2902,389.4235,2025-11-20
60084,POUNDS STERLING,2025-10-23,1947.6946,1948.3619,1949.0291,2025-11-20
60085,US DOLLAR,2025-10-23,1459.4939,1459.9939,1460.4939,2025-11-20
60088,YUAN/RENMINBI,2025-10-24,204.5627,204.6329,204.7031,2025-11-21
60090,EURO,2025-10-24,1695.1696,1695.7513,1696.3331,2025-11-21
60091,YEN,2025-10-24,9.5351,9.5383,9.5416,2025-11-21
60092,RIYAL,2025-10-24,388.5012,388.6345,388.7678,2025-11-21
60096,POUNDS STERLING,2025-10-24,1945.1834,1945.851,1946.5185,2025-11-21
60097,US DOLLAR,2025-10-24,1456.9571,1457.4571,1457.9571,2025-11-21
60100,YUAN/RENMINBI,2025-10-27,204.1646,204.2349,204.3053,2025-11-24
60102,EURO,2025-10-27,1689.5982,1690.1801,1690.762,2025-11-24
60103,YEN,2025-10-27,9.4851,9.4884,9.4917,2025-11-24
60104,RIYAL,2025-10-27,387.1245,387.2578,387.3912,2025-11-24
60108,POUNDS STERLING,2025-10-27,1935.387,1936.0535,1936.7201,2025-11-24
60109,US DOLLAR,2025-10-27,1451.7943,1452.2943,1452.7943,2025-11-24
60112,YUAN/RENMINBI,2025-10-28,203.7542,203.8246,203.895,2025-11-25
60114,EURO,2025-10-28,1684.2572,1684.8391,1685.421,2025-11-25
60115,YEN,2025-10-28,9.5036,9.5069,9.5101,2025-11-25
60116,RIYAL,2025-10-28,385.9008,386.0341,386.1674,2025-11-25
60120,POUNDS STERLING,2025-10-28,1918.1255,1918.7882,1919.4509,2025-11-25
60121,US DOLLAR,2025-10-28,1447.205,1447.705,1448.205,2025-11-25
60124,YUAN/RENMINBI,2025-10-29,203.3189,203.3893,203.4598,2025-11-26
60126,EURO,2025-10-29,1679.9989,1680.5808,1681.1628,2025-11-26
60127,YEN,2025-10-29,9.4931,9.4964,9.4997,2025-11-26
60128,RIYAL,2025-10-29,384.8817,385.0151,385.1484,2025-11-26
60132,POUNDS STERLING,2025-10-29,1907.7709,1908.4317,1909.0926,2025-11-26
60133,US DOLLAR,2025-10-29,1443.422,1443.922,1444.422,2025-11-26
60136,YUAN/RENMINBI,2025-10-30,201.8797,201.95,202.0203,2025-11-27
60138,EURO,2025-10-30,1663.4278,1664.007,1664.5862,2025-11-27
60139,YEN,2025-10-30,9.3178,9.3211,9.3243,2025-11-27
60140,RIYAL,2025-10-30,382.8947,383.0281,383.1614,2025-11-27
60145,POUNDS STERLING,2025-10-30,1891.4598,1892.1184,1892.777,2025-11-27
60146,US DOLLAR,2025-10-30,1435.9701,1436.4701,1436.9701,2025-11-27
60149,YUAN/RENMINBI,2025-10-31,199.5582,199.6284,199.6986,2025-11-28
60151,EURO,2025-10-31,1639.2432,1639.8201,1640.397,2025-11-28
60152,YEN,2025-10-31,9.2178,9.221,9.2243,2025-11-28
60153,RIYAL,2025-10-31,378.8221,378.9554,379.0887,2025-11-28
